Support,Pattern,Cluster Sequence
41,februari januari hold → take place mediat,19 → 4
41,establish develop implement → take place mediat → take place mediat,43 → 4 → 4
41,establish develop implement → meet take place,43 → 22
41,establish develop implement → reconcili refus resum,43 → 30
41,establish develop implement → parti meet reach,43 → 39
41,meet take place → negoti take place,22 → 18
41,agreement implement reach → govern state take,27 → 20
41,parti meet reach → establish develop implement,39 → 43
41,sign meet comprehen → agreement implement reach,0 → 27
40,region nation tribe → take place mediat,17 → 4
40,februari januari hold → agreement implement reach,19 → 27
40,establish develop implement → coalit strateg launch,43 → 7
40,take place mediat → reconcili refus resum,4 → 30
40,effort progress lead → take place mediat,1 → 4
40,negoti take place → parti meet reach,18 → 39
40,negoti take place → commit agreement committe,18 → 11
39,take place mediat → take place mediat → negoti take place,4 → 4 → 18
39,ceasefir take effect → establish develop implement,25 → 43
39,ceasefir take effect → agreement implement reach,25 → 27
39,agreement implement reach → lead ceasefir peac,27 → 8
39,reconcili refus resum → agreement implement reach,30 → 27
39,meet turkana pokot → establish develop implement,45 → 43
39,negoti take place → take place mediat → take place mediat,18 → 4 → 4
39,parti meet reach → agreement implement reach,39 → 27
39,parti meet reach → meet take place,39 → 22
39,govern state take → agreement implement reach,20 → 27
38,take place mediat → take place mediat → agreement implement reach,4 → 4 → 27
38,take place mediat → juli meet immedi,4 → 21
38,take place mediat → negoti take place → take place mediat,4 → 18 → 4
38,commit agreement committe → take place mediat,11 → 4
38,lead ceasefir peac → negoti take place,8 → 18
38,negoti take place → govern congoles congo,18 → 44
38,negoti take place → coalit strateg launch,18 → 7
38,negoti take place → effort progress lead,18 → 1
38,parti meet reach → negoti take place,39 → 18
37,hold confer elect → negoti take place,49 → 18
37,take place mediat → region nation tribe,4 → 17
37,octob septemb decemb → agreement implement reach,13 → 27
37,lead ceasefir peac → cessat continu mediat,8 → 38
37,negoti take place → agreement implement reach → agreement implement reach,18 → 27 → 27
37,govern state take → take place mediat,20 → 4
36,region nation tribe → agreement implement reach,17 → 27
36,hold confer elect → meet take place,49 → 22
36,establish develop implement → hold confer elect,43 → 49
36,establish develop implement → octob septemb decemb,43 → 13
36,take place mediat → take place mediat → establish develop implement,4 → 4 → 43
36,take place mediat → effort progress lead,4 → 1
36,take place mediat → commit agreement committe,4 → 11
36,take place mediat → meet turkana pokot,4 → 45
36,meet take place → commit agreement committe,22 → 11
36,meet take place → meet turkana pokot,22 → 45
36,commit agreement committe → establish develop implement,11 → 43
36,agre end set → take place mediat,35 → 4
36,juli meet immedi → agreement implement reach,21 → 27
36,juli meet immedi → take place mediat,21 → 4
36,meet turkana pokot → cessat continu mediat,45 → 38
36,meet turkana pokot → agreement implement reach,45 → 27
36,lead ceasefir peac → establish develop implement,8 → 43
36,negoti take place → negoti take place → establish develop implement,18 → 18 → 43
36,negoti take place → negoti take place → take place mediat,18 → 18 → 4
36,negoti take place → negoti take place → agreement implement reach,18 → 18 → 27
36,govern congoles congo → establish develop implement,44 → 43
36,govern congoles congo → negoti take place,44 → 18
36,govern state take → establish develop implement,20 → 43
35,region nation tribe → negoti take place,17 → 18
35,hold confer elect → establish develop implement,49 → 43
35,establish develop implement → effort progress lead,43 → 1
35,take place mediat → tension violenc continu,4 → 24
35,cessat continu mediat → commit agreement committe,38 → 11
35,cessat continu mediat → negoti take place,38 → 18
35,effort progress lead → agreement implement reach,1 → 27
35,commit agreement committe → meet take place,11 → 22
35,juli meet immedi → meet take place,21 → 22
35,negoti take place → juli meet immedi,18 → 21
35,govern congoles congo → agreement implement reach,44 → 27
35,parti meet reach → commit agreement committe,39 → 11
35,parti meet reach → govern state take,39 → 20
35,govern state take → negoti take place,20 → 18
35,tension violenc continu → take place mediat,24 → 4
35,sign meet comprehen → meet take place,0 → 22
35,sign meet comprehen → cessat continu mediat,0 → 38
34,establish develop implement → repres repre govern,43 → 23
34,take place mediat → govern congoles congo,4 → 44
34,meet take place → take place mediat → take place mediat,22 → 4 → 4
34,repres repre govern → agreement implement reach,23 → 27
34,meet turkana pokot → commit agreement committe,45 → 11
34,negoti take place → octob septemb decemb,18 → 13
34,sign meet comprehen → take place mediat,0 → 4
33,coalit strateg launch → take place mediat,7 → 4
33,coalit strateg launch → negoti take place,7 → 18
33,hold confer elect → take place mediat,49 → 4
33,establish develop implement → take place mediat → cessat continu mediat,43 → 4 → 38
33,establish develop implement → take place mediat → agreement implement reach,43 → 4 → 27
33,establish develop implement → meet turkana pokot,43 → 45
33,establish develop implement → region nation tribe,43 → 17
33,take place mediat → hold confer elect,4 → 49
33,take place mediat → take place mediat → cessat continu mediat,4 → 4 → 38
33,take place mediat → take place mediat → meet take place,4 → 4 → 22
33,take place mediat → take place mediat → parti meet reach,4 → 4 → 39
33,take place mediat → negoti take place → negoti take place,4 → 18 → 18
33,peac hold attend → agreement implement reach,31 → 27
33,meet take place → govern state take,22 → 20
33,ceasefir take effect → negoti take place,25 → 18
33,juli meet immedi → cessat continu mediat,21 → 38
33,juli meet immedi → establish develop implement,21 → 43
33,lead ceasefir peac → commit agreement committe,8 → 11
33,lead ceasefir peac → region nation tribe,8 → 17
33,lead ceasefir peac → coalit strateg launch,8 → 7
33,negoti take place → sign meet comprehen,18 → 0
33,negoti take place → hold confer elect,18 → 49
33,negoti take place → reconcili refus resum,18 → 30
33,negoti take place → februari januari hold,18 → 19
32,februari januari hold → cessat continu mediat,19 → 38
32,coalit strateg launch → establish develop implement,7 → 43
32,hold confer elect → cessat continu mediat,49 → 38
32,establish develop implement → ceasefir take effect,43 → 25
32,establish develop implement → govern congoles congo,43 → 44
32,take place mediat → establish develop implement → establish develop implement,4 → 43 → 43
32,take place mediat → agre end set,4 → 35
32,take place mediat → octob septemb decemb,4 → 13
32,peac hold attend → meet take place,31 → 22
32,meet take place → octob septemb decemb,22 → 13
32,cessat continu mediat → parti meet reach,38 → 39
32,ceasefir take effect → meet take place,25 → 22
32,repres repre govern → take place mediat,23 → 4
32,agreement implement reach → reconcili refus resum,27 → 30
32,agreement implement reach → octob septemb decemb,27 → 13
32,octob septemb decemb → establish develop implement,13 → 43
32,meet turkana pokot → meet take place,45 → 22
32,negoti take place → take place mediat → negoti take place,18 → 4 → 18
32,negoti take place → take place mediat → agreement implement reach,18 → 4 → 27
32,negoti take place → establish develop implement → agreement implement reach,18 → 43 → 27
32,parti meet reach → cessat continu mediat,39 → 38
32,tension violenc continu → meet take place,24 → 22
32,tension violenc continu → agreement implement reach,24 → 27
31,region nation tribe → establish develop implement,17 → 43
31,region nation tribe → commit agreement committe,17 → 11
31,februari januari hold → establish develop implement,19 → 43
31,coalit strateg launch → cessat continu mediat,7 → 38
31,hold confer elect → coalit strateg launch,49 → 7
31,hold confer elect → commit agreement committe,49 → 11
31,take place mediat → establish develop implement → take place mediat,4 → 43 → 4
31,take place mediat → establish develop implement → agreement implement reach,4 → 43 → 27
31,take place mediat → talk discuss take,4 → 48
31,take place mediat → cessat continu mediat → take place mediat,4 → 38 → 4
31,take place mediat → agreement implement reach → take place mediat,4 → 27 → 4
31,take place mediat → fight take fighter,4 → 3
31,take place mediat → sign meet comprehen,4 → 0
31,take place mediat → februari januari hold,4 → 19
31,peac hold attend → cessat continu mediat,31 → 38
31,meet take place → juli meet immedi,22 → 21
31,meet take place → sign meet comprehen,22 → 0
31,ceasefir take effect → cessat continu mediat,25 → 38
31,commit agreement committe → cessat continu mediat,11 → 38
31,commit agreement committe → govern state take,11 → 20
31,agreement implement reach → region nation tribe,27 → 17
31,agreement implement reach → coalit strateg launch,27 → 7
31,reconcili refus resum → establish develop implement,30 → 43
31,octob septemb decemb → cessat continu mediat,13 → 38
31,octob septemb decemb → meet take place,13 → 22
31,lead ceasefir peac → meet take place,8 → 22
31,negoti take place → agreement implement reach → negoti take place,18 → 27 → 18
31,negoti take place → region nation tribe,18 → 17
31,govern congoles congo → take place mediat,44 → 4
31,govern state take → meet take place,20 → 22
31,govern state take → cessat continu mediat,20 → 38
30,region nation tribe → parti meet reach,17 → 39
30,februari januari hold → negoti take place,19 → 18
30,establish develop implement → take place mediat → establish develop implement,43 → 4 → 43
30,establish develop implement → agreement implement reach → take place mediat,43 → 27 → 4
30,take place mediat → take place mediat → govern state take,4 → 4 → 20
30,take place mediat → ceasefir take effect,4 → 25
30,take place mediat → agreement implement reach → agreement implement reach,4 → 27 → 27
30,take place mediat → agreement implement reach → negoti take place,4 → 27 → 18
30,take place mediat → parti meet reach → take place mediat,4 → 39 → 4
30,peac hold attend → establish develop implement,31 → 43
30,meet take place → coalit strateg launch,22 → 7
30,meet take place → peac hold attend,22 → 31
30,meet take place → repres repre govern,22 → 23
30,meet take place → parti meet reach,22 → 39
30,cessat continu mediat → hold confer elect,38 → 49
30,agreement implement reach → take place mediat → agreement implement reach,27 → 4 → 27
30,reconcili refus resum → govern state take,30 → 20
30,meet turkana pokot → take place mediat,45 → 4
30,govern state take → commit agreement committe,20 → 11
30,attend confer summit → take place mediat,47 → 4
30,sign meet comprehen → establish develop implement,0 → 43
30,sign meet comprehen → peac hold attend,0 → 31
29,region nation tribe → meet take place,17 → 22
29,region nation tribe → cessat continu mediat,17 → 38
29,februari januari hold → meet take place,19 → 22
29,coalit strateg launch → meet take place,7 → 22
29,hold confer elect → govern state take,49 → 20
29,hold confer elect → parti meet reach,49 → 39
29,hold confer elect → lead ceasefir peac,49 → 8
29,establish develop implement → establish develop implement → agreement implement reach,43 → 43 → 27
29,establish develop implement → cessat continu mediat → agreement implement reach,43 → 38 → 27
29,take place mediat → cessat continu mediat → agreement implement reach,4 → 38 → 27
29,take place mediat → repres repre govern,4 → 23
29,take place mediat → peac talk confer,4 → 46
29,peac hold attend → take place mediat,31 → 4
29,meet take place → lead ceasefir peac,22 → 8
29,talk discuss take → take place mediat,48 → 4
29,cessat continu mediat → take place mediat → take place mediat,38 → 4 → 4
29,cessat continu mediat → coalit strateg launch,38 → 7
29,cessat continu mediat → establish develop implement → agreement implement reach,38 → 43 → 27
29,agreement implement reach → juli meet immedi,27 → 21
29,agreement implement reach → sign meet comprehen,27 → 0
29,agreement implement reach → govern congoles congo,27 → 44
29,agreement implement reach → effort progress lead,27 → 1
29,agre end set → establish develop implement,35 → 43
29,juli meet immedi → commit agreement committe,21 → 11
29,juli meet immedi → govern state take,21 → 20
29,juli meet immedi → coalit strateg launch,21 → 7
29,juli meet immedi → region nation tribe,21 → 17
29,reconcili refus resum → take place mediat,30 → 4
29,octob septemb decemb → negoti take place,13 → 18
29,meet turkana pokot → negoti take place,45 → 18
29,negoti take place → cessat continu mediat → agreement implement reach,18 → 38 → 27
29,negoti take place → agreement implement reach → establish develop implement,18 → 27 → 43
29,negoti take place → negoti take place → parti meet reach,18 → 18 → 39
29,negoti take place → meet turkana pokot,18 → 45
29,govern congoles congo → cessat continu mediat,44 → 38
29,tension violenc continu → negoti take place,24 → 18
29,tension violenc continu → establish develop implement,24 → 43
29,lead agreement negoti → agreement implement reach,15 → 27
28,februari januari hold → commit agreement committe,19 → 11
28,establish develop implement → agreement implement reach → cessat continu mediat,43 → 27 → 38
28,establish develop implement → sign meet comprehen,43 → 0
28,take place mediat → peac hold attend,4 → 31
28,take place mediat → meet take place → take place mediat,4 → 22 → 4
28,take place mediat → negoti take place → parti meet reach,4 → 18 → 39
28,take place mediat → attend confer summit,4 → 47
28,meet take place → cessat continu mediat → agreement implement reach,22 → 38 → 27
28,meet take place → meet take place → agreement implement reach,22 → 22 → 27
28,troop deploy militia → take place mediat,28 → 4
28,troop deploy militia → establish develop implement,28 → 43
28,group team take → establish develop implement,41 → 43
28,group team take → agreement implement reach,41 → 27
28,cessat continu mediat → meet take place → agreement implement reach,38 → 22 → 27
28,cessat continu mediat → meet turkana pokot,38 → 45
28,effort progress lead → cessat continu mediat,1 → 38
28,agreement implement reach → peac hold attend,27 → 31
28,agreement implement reach → agreement implement reach → negoti take place,27 → 27 → 18
28,juli meet immedi → negoti take place,21 → 18
28,reconcili refus resum → negoti take place,30 → 18
28,octob septemb decemb → parti meet reach,13 → 39
28,lead ceasefir peac → parti meet reach,8 → 39
28,lead ceasefir peac → juli meet immedi,8 → 21
28,negoti take place → agreement implement reach → commit agreement committe,18 → 27 → 11
28,negoti take place → agre end set,18 → 35
28,negoti take place → negoti take place → cessat continu mediat,18 → 18 → 38
28,negoti take place → negoti take place → commit agreement committe,18 → 18 → 11
28,negoti take place → negoti take place → negoti take place → agreement implement reach,18 → 18 → 18 → 27
28,negoti take place → ceasefir take effect,18 → 25
28,negoti take place → process take place,18 → 2
28,parti meet reach → take place mediat → take place mediat,39 → 4 → 4
28,parti meet reach → octob septemb decemb,39 → 13
28,tension violenc continu → govern state take,24 → 20
27,februari januari hold → lead ceasefir peac,19 → 8
27,coalit strateg launch → octob septemb decemb,7 → 13
27,hold confer elect → reconcili refus resum,49 → 30
27,hold confer elect → meet turkana pokot,49 → 45
27,establish develop implement → establish develop implement → cessat continu mediat,43 → 43 → 38
27,establish develop implement → meet take place → cessat continu mediat,43 → 22 → 38
27,establish develop implement → meet take place → agreement implement reach,43 → 22 → 27
27,establish develop implement → juli meet immedi,43 → 21
27,take place mediat → establish develop implement → negoti take place,4 → 43 → 18
27,take place mediat → take place mediat → coalit strateg launch,4 → 4 → 7
27,take place mediat → negoti take place → agreement implement reach,4 → 18 → 27
27,meet take place → talk discuss take,22 → 48
27,meet take place → hold confer elect,22 → 49
27,meet take place → effort progress lead,22 → 1
27,cessat continu mediat → take place mediat → agreement implement reach,38 → 4 → 27
27,cessat continu mediat → govern congoles congo,38 → 44
27,cessat continu mediat → lead ceasefir peac,38 → 8
27,ceasefir take effect → parti meet reach,25 → 39
27,commit agreement committe → meet turkana pokot,11 → 45
27,commit agreement committe → reconcili refus resum,11 → 30
27,agreement implement reach → take place mediat → take place mediat,27 → 4 → 4
27,agreement implement reach → take place mediat → cessat continu mediat,27 → 4 → 38
27,agreement implement reach → establish develop implement → agreement implement reach,27 → 43 → 27
27,agreement implement reach → agreement implement reach → commit agreement committe,27 → 27 → 11
27,agreement implement reach → commit agreement committe → agreement implement reach,27 → 11 → 27
27,agreement implement reach → parti meet reach,27 → 39
27,agreement implement reach → februari januari hold,27 → 19
27,agreement implement reach → hold confer elect,27 → 49
27,agre end set → negoti take place,35 → 18
27,fight take fighter → take place mediat,3 → 4
27,fight take fighter → agreement implement reach,3 → 27
27,lead ceasefir peac → govern state take,8 → 20
27,lead ceasefir peac → octob septemb decemb,8 → 13
27,negoti take place → negoti take place → take place mediat → take place mediat,18 → 18 → 4 → 4
27,negoti take place → negoti take place → govern state take,18 → 18 → 20
27,negoti take place → negoti take place → coalit strateg launch,18 → 18 → 7
27,negoti take place → meet take place → agreement implement reach,18 → 22 → 27
27,negoti take place → peac hold attend,18 → 31
27,govern congoles congo → coalit strateg launch,44 → 7
27,govern congoles congo → lead ceasefir peac,44 → 8
27,sign meet comprehen → lead ceasefir peac,0 → 8
26,region nation tribe → lead ceasefir peac,17 → 8
26,coalit strateg launch → commit agreement committe,7 → 11
26,coalit strateg launch → parti meet reach,7 → 39
26,establish develop implement → peac hold attend,43 → 31
26,establish develop implement → cessat continu mediat → cessat continu mediat,43 → 38 → 38
26,establish develop implement → cessat continu mediat → take place mediat,43 → 38 → 4
26,establish develop implement → agreement implement reach → establish develop implement,43 → 27 → 43
26,establish develop implement → agreement implement reach → agreement implement reach,43 → 27 → 27
26,establish develop implement → agreement implement reach → negoti take place,43 → 27 → 18
26,establish develop implement → agre end set,43 → 35
26,establish develop implement → negoti take place → agreement implement reach,43 → 18 → 27
26,take place mediat → establish develop implement → take place mediat → take place mediat,4 → 43 → 4 → 4
26,take place mediat → take place mediat → reconcili refus resum,4 → 4 → 30
26,take place mediat → coalit strateg launch → take place mediat,4 → 7 → 4
26,take place mediat → juli meet immedi → take place mediat,4 → 21 → 4
26,take place mediat → negoti take place → establish develop implement,4 → 18 → 43
26,take place mediat → ababa take meet,4 → 40
26,meet take place → establish develop implement → agreement implement reach,22 → 43 → 27
26,meet take place → tension violenc continu,22 → 24
26,meet take place → region nation tribe,22 → 17
26,meet take place → process take place,22 → 2
26,cessat continu mediat → peac hold attend,38 → 31
26,cessat continu mediat → juli meet immedi,38 → 21
26,ceasefir take effect → reconcili refus resum,25 → 30
26,ceasefir take effect → govern state take,25 → 20
26,ceasefir take effect → meet turkana pokot,25 → 45
26,repres repre govern → commit agreement committe,23 → 11
26,repres repre govern → establish develop implement,23 → 43
26,commit agreement committe → negoti take place,11 → 18
26,agreement implement reach → take place mediat → negoti take place,27 → 4 → 18
26,agreement implement reach → repres repre govern,27 → 23
26,agreement implement reach → meet turkana pokot,27 → 45
26,agreement implement reach → peac talk confer,27 → 46
26,agreement implement reach → process take place,27 → 2
26,clash conflict arm → take place mediat,33 → 4
26,fight take fighter → establish develop implement,3 → 43
26,reconcili refus resum → commit agreement committe,30 → 11
26,octob septemb decemb → govern state take,13 → 20
26,octob septemb decemb → coalit strateg launch,13 → 7
26,lead ceasefir peac → establish develop implement → agreement implement reach,8 → 43 → 27
26,lead ceasefir peac → reconcili refus resum,8 → 30
26,negoti take place → take place mediat → establish develop implement,18 → 4 → 43
26,negoti take place → take place mediat → cessat continu mediat,18 → 4 → 38
26,negoti take place → tension violenc continu,18 → 24
26,parti meet reach → agreement implement reach → agreement implement reach,39 → 27 → 27
26,govern state take → take place mediat → take place mediat,20 → 4 → 4
26,attend confer summit → establish develop implement,47 → 43
26,sign meet comprehen → juli meet immedi,0 → 21
25,region nation tribe → govern state take,17 → 20
25,februari januari hold → coalit strateg launch,19 → 7
25,februari januari hold → take place mediat → take place mediat,19 → 4 → 4
25,februari januari hold → effort progress lead,19 → 1
25,februari januari hold → agreement implement reach → agreement implement reach,19 → 27 → 27
25,februari januari hold → juli meet immedi,19 → 21
25,februari januari hold → govern state take,19 → 20
25,coalit strateg launch → effort progress lead,7 → 1
25,hold confer elect → agreement implement reach → agreement implement reach,49 → 27 → 27
25,hold confer elect → region nation tribe,49 → 17
25,establish develop implement → establish develop implement → take place mediat,43 → 43 → 4
25,establish develop implement → commit agreement committe → agreement implement reach,43 → 11 → 27
25,establish develop implement → process take place,43 → 2
25,take place mediat → take place mediat → negoti take place → take place mediat,4 → 4 → 18 → 4
25,take place mediat → cessat continu mediat → establish develop implement,4 → 38 → 43
25,take place mediat → effort progress lead → take place mediat,4 → 1 → 4
25,take place mediat → agreement implement reach → establish develop implement,4 → 27 → 43
25,take place mediat → agreement implement reach → cessat continu mediat,4 → 27 → 38
25,take place mediat → negoti take place → take place mediat → take place mediat,4 → 18 → 4 → 4
25,take place mediat → process take place,4 → 2
25,meet take place → establish develop implement → cessat continu mediat,22 → 43 → 38
25,meet take place → ceasefir take effect,22 → 25
25,meet take place → agre end set,22 → 35
25,meet take place → govern congoles congo,22 → 44
25,talk discuss take → meet take place,48 → 22
25,talk discuss take → agreement implement reach,48 → 27
25,cessat continu mediat → cessat continu mediat → agreement implement reach,38 → 38 → 27
25,cessat continu mediat → effort progress lead,38 → 1
25,cessat continu mediat → govern state take,38 → 20
25,cessat continu mediat → region nation tribe,38 → 17
25,effort progress lead → establish develop implement,1 → 43
25,commit agreement committe → juli meet immedi,11 → 21
25,commit agreement committe → lead ceasefir peac,11 → 8
25,agreement implement reach → take place mediat → meet take place,27 → 4 → 22
25,agreement implement reach → meet take place → agreement implement reach,27 → 22 → 27
25,agreement implement reach → agreement implement reach → take place mediat,27 → 27 → 4
25,agreement implement reach → cessat continu mediat → agreement implement reach,27 → 38 → 27
25,juli meet immedi → parti meet reach,21 → 39
25,fight take fighter → meet take place,3 → 22
25,reconcili refus resum → cessat continu mediat,30 → 38
25,reconcili refus resum → effort progress lead,30 → 1
25,reconcili refus resum → lead ceasefir peac,30 → 8
25,meet turkana pokot → lead ceasefir peac,45 → 8
25,meet turkana pokot → govern state take,45 → 20
25,lead ceasefir peac → sign meet comprehen,8 → 0
25,lead ceasefir peac → meet turkana pokot,8 → 45
25,lead ceasefir peac → effort progress lead,8 → 1
25,lead ceasefir peac → peac hold attend,8 → 31
25,negoti take place → parti meet reach → take place mediat,18 → 39 → 4
25,negoti take place → agreement implement reach → take place mediat,18 → 27 → 4
25,negoti take place → agreement implement reach → govern state take,18 → 27 → 20
25,negoti take place → take place mediat → coalit strateg launch,18 → 4 → 7
25,negoti take place → take place mediat → parti meet reach,18 → 4 → 39
25,negoti take place → take place mediat → take place mediat → take place mediat,18 → 4 → 4 → 4
25,negoti take place → take place mediat → take place mediat → negoti take place,18 → 4 → 4 → 18
25,negoti take place → negoti take place → agreement implement reach → agreement implement reach,18 → 18 → 27 → 27
25,negoti take place → repres repre govern,18 → 23
25,negoti take place → effort progress lead → take place mediat,18 → 1 → 4
25,negoti take place → sudane sudan negoti,18 → 6
25,govern congoles congo → meet take place,44 → 22
25,govern congoles congo → hold confer elect,44 → 49
25,govern state take → parti meet reach,20 → 39
25,tension violenc continu → cessat continu mediat,24 → 38
25,ababa take meet → establish develop implement,40 → 43
25,sign meet comprehen → tension violenc continu,0 → 24
25,process take place → cessat continu mediat,2 → 38
24,februari januari hold → take place mediat → agreement implement reach,19 → 4 → 27
24,coalit strateg launch → peac hold attend,7 → 31
24,hold confer elect → octob septemb decemb,49 → 13
24,establish develop implement → take place mediat → negoti take place,43 → 4 → 18
24,establish develop implement → take place mediat → reconcili refus resum,43 → 4 → 30
24,establish develop implement → establish develop implement → govern state take,43 → 43 → 20
24,establish develop implement → meet take place → establish develop implement,43 → 22 → 43
24,establish develop implement → meet alreadi take,43 → 9
24,establish develop implement → hold confer elect → agreement implement reach,43 → 49 → 27
24,establish develop implement → cessat continu mediat → establish develop implement,43 → 38 → 43
24,establish develop implement → coalit strateg launch → agreement implement reach,43 → 7 → 27
24,establish develop implement → agreement implement reach → commit agreement committe,43 → 27 → 11
24,establish develop implement → agreement implement reach → govern state take,43 → 27 → 20
24,establish develop implement → fight take fighter,43 → 3
24,establish develop implement → reconcili refus resum → agreement implement reach,43 → 30 → 27
24,establish develop implement → particip meet confer,43 → 10
24,establish develop implement → attend confer summit,43 → 47
24,take place mediat → establish develop implement → cessat continu mediat,4 → 43 → 38
24,take place mediat → meet take place → meet take place,4 → 22 → 22
24,take place mediat → troop deploy militia,4 → 28
24,take place mediat → take place mediat → take place mediat → establish develop implement,4 → 4 → 4 → 43
24,take place mediat → take place mediat → juli meet immedi,4 → 4 → 21
24,take place mediat → coalit strateg launch → agreement implement reach,4 → 7 → 27
24,take place mediat → agre end set → take place mediat,4 → 35 → 4
24,take place mediat → particip meet confer,4 → 10
24,take place mediat → negoti take place → cessat continu mediat,4 → 18 → 38
24,take place mediat → negoti take place → negoti take place → negoti take place,4 → 18 → 18 → 18
24,take place mediat → octob septemb decemb → take place mediat,4 → 13 → 4
24,meet take place → take place mediat → meet take place,22 → 4 → 22
24,meet take place → establish develop implement → take place mediat,22 → 43 → 4
24,meet take place → cessat continu mediat → meet take place,22 → 38 → 22
24,meet take place → meet take place → cessat continu mediat,22 → 22 → 38
24,meet take place → februari januari hold,22 → 19
24,cessat continu mediat → meet take place → cessat continu mediat,38 → 22 → 38
24,cessat continu mediat → agreement implement reach → take place mediat,38 → 27 → 4
24,cessat continu mediat → octob septemb decemb,38 → 13
24,cessat continu mediat → negoti take place → take place mediat,38 → 18 → 4
24,cessat continu mediat → negoti take place → cessat continu mediat,38 → 18 → 38
24,effort progress lead → take place mediat → take place mediat,1 → 4 → 4
24,effort progress lead → negoti take place,1 → 18
24,ceasefir take effect → commit agreement committe,25 → 11
24,commit agreement committe → coalit strateg launch,11 → 7
24,commit agreement committe → tension violenc continu,11 → 24
24,agreement implement reach → establish develop implement → establish develop implement,27 → 43 → 43
24,agreement implement reach → agreement implement reach → cessat continu mediat,27 → 27 → 38
24,agreement implement reach → agreement implement reach → meet take place,27 → 27 → 22
24,agreement implement reach → cessat continu mediat → cessat continu mediat,27 → 38 → 38
24,agreement implement reach → negoti take place → commit agreement committe,27 → 18 → 11
24,agreement implement reach → negoti take place → agreement implement reach,27 → 18 → 27
24,agreement implement reach → ceasefir take effect,27 → 25
24,agre end set → agreement implement reach,35 → 27
24,agre end set → cessat continu mediat,35 → 38
24,juli meet immedi → octob septemb decemb,21 → 13
24,reconcili refus resum → parti meet reach,30 → 39
24,meet turkana pokot → commit agreement committe → agreement implement reach,45 → 11 → 27
24,lead ceasefir peac → take place mediat → take place mediat,8 → 4 → 4
24,lead ceasefir peac → cessat continu mediat → agreement implement reach,8 → 38 → 27
24,lead ceasefir peac → agreement implement reach → agreement implement reach,8 → 27 → 27
24,lead ceasefir peac → hold confer elect,8 → 49
24,negoti take place → parti meet reach → agreement implement reach,18 → 39 → 27
24,negoti take place → agreement implement reach → cessat continu mediat,18 → 27 → 38
24,negoti take place → juli meet immedi → take place mediat,18 → 21 → 4
24,negoti take place → take place mediat → meet take place,18 → 4 → 22
24,negoti take place → establish develop implement → negoti take place,18 → 43 → 18
24,negoti take place → commit agreement committe → agreement implement reach,18 → 11 → 27
24,negoti take place → negoti take place → establish develop implement → agreement implement reach,18 → 18 → 43 → 27
24,negoti take place → negoti take place → effort progress lead,18 → 18 → 1
24,negoti take place → ababa take meet,18 → 40
24,negoti take place → talk discuss take,18 → 48
24,negoti take place → hold confer elect → agreement implement reach,18 → 49 → 27
24,negoti take place → govern state take → agreement implement reach,18 → 20 → 27
24,negoti take place → govern state take → negoti take place,18 → 20 → 18
24,govern congoles congo → establish develop implement → agreement implement reach,44 → 43 → 27
24,parti meet reach → tension violenc continu,39 → 24
24,parti meet reach → sign meet comprehen,39 → 0
24,parti meet reach → peac hold attend,39 → 31
24,parti meet reach → negoti take place → take place mediat,39 → 18 → 4
24,tension violenc continu → commit agreement committe,24 → 11
